+-----+-------------------------------------------------+-----+-------+-------------------------------------------+---------------------+----------+
|  No |                   Mata Kuliah                   | SKS | Kelas |                   Dosen                   |        Waktu        | Ruangan  |
| 160 |                                                 |  3  |   F   |           Supriyanto, S.T., M.T.          |      JUM7, JUM8     | 4.1.5.61 |
| 161 |                                                 |  3  |   G   |        Dinan Yulianto, S.T., M.Eng.       |     JUM10, JUM11    | 4.1.5.64 |
| 162 |            Sistem Informasi Geografis           |  3  |   A   |          Ika Arfiani, S.T., M.Cs.         |      JUM2, JUM3     | 4.1.5.55 |
| 163 |                                                 |  3  |   B   |          Ika Arfiani, S.T., M.Cs.         |      JUM7, JUM8     | 4.1.5.65 |
| 164 |                                                 |  3  |   C   |        Lisna Zahrotun, S.T., M.Cs.        |      KAM2, KAM3     | 4.1.5.62 |
| 165 |                                                 |  3  |   D   |          Ika Arfiani, S.T., M.Cs.         |      SEN7, SEN8     | 4.1.5.63 |
| 166 |                  Deep learning                  |  3  |   A   |         Adhi Prahara, S.Si., M.Cs.        |     RAB10, RAB11    | 4.1.5.63 |
| 167 |                                                 |  3  |   B   |         Adhi Prahara, S.Si., M.Cs.        |      KAM7, KAM8     | 4.1.5.58 |
| 168 |                                                 |  3  |   C   |           Murinto, S.Si., M.Kom.          |      SAB7, SAB8     | 4.1.5.63 |
| 169 |                                                 |  3  |   D   |         Adhi Prahara, S.Si., M.Cs.        |      RAB2, RAB3     | 4.1.5.63 |
| 170 |                                                 |  3  |   E   |           Murinto, S.Si., M.Kom.          |      RAB7, RAB8     | 4.1.5.63 |
| 171 |            Pengembangan Aplikasi Game           |  3  |   A   |        Ahmad Azhari, S.Kom., M.Eng.       |      KAM4, KAM5     | 4.1.5.62 |
| 172 |                                                 |  3  |   B   |        Ahmad Azhari, S.Kom., M.Eng.       |      KAM7, KAM8     | 4.1.5.64 |
| 173 |                                                 |  3  |   C   |         Bambang Robiin, S.T.,M.T.         |      KAM3, KAM4     | 4.1.5.56 |
| 174 |                                                 |  3  |   D   |         Bambang Robiin, S.T.,M.T.         |      KAM1, KAM2     | 4.1.5.60 |
| 175 |                                                 |  3  |   E   |        Ahmad Azhari, S.Kom., M.Eng.       |      SEL3, SEL4     | 4.1.5.55 |
| 176 |                   Kriptografi                   |  3  |   A   |         Eko Aribowo, S.T., M.Kom.         |      SEL4, SEL5     | 4.1.5.56 |
| 177 |                                                 |  3  |   B   |         Eko Aribowo, S.T., M.Kom.         |     SEL10, SEL11    | 4.1.5.57 |
| 178 |                                                 |  3  |   C   |     Nur Rochmah Dyah PA, S.T., M.Kom.     |      SAB7, SAB8     | 4.1.5.63 |
| 179 |                                                 |  3  |   D   |     Nur Rochmah Dyah PA, S.T., M.Kom.     |     SEN10, SEN11    | 4.1.5.55 |
| 180 |                                                 |  3  |   E   |         Eko Aribowo, S.T., M.Kom.         |      JUM3, JUM4     | 4.1.5.57 |
| 181 |       Manajemen Proyek Teknologi Informasi      |  2  |   A   |          Nuril Anwar, S.T., M.Kom         |      JUM5, JUM6     |  Online  |
| 182 |                                                 |  2  |   B   |     Nur Rochmah Dyah PA, S.T., M.Kom.     |      SEL7, SEL8     |  Online  |
| 183 |                                                 |  2  |   C   |   Guntur Maulana Zamroni, B.Sc., M.Kom.   |      KAM8, KAM9     |  Online  |
| 184 |                                                 |  2  |   D   |        Dewi Soyusiowaty, S.T., M.T.       |     SAB10, SAB11    |  Online  |
| 185 |                                                 |  2  |   E   |         Sri Winiarti, S.T., M.Cs.         |     SEL10, SEL11    |  Online  |
| 186 |                                                 |  2  |   F   |      Arfiani Nur Khusna, S.T., M.Kom.     |      SEN5, SEN6     |  Online  |
| 187 |                                                 |  2  |   G   |      Arfiani Nur Khusna, S.T., M.Kom.     |      SEN7, SEN8     |  Online  |
| 188 |                                                 |  2  |   H   |      Murein Miksa Mardhia, S.T., M.T.     |      SAB8, SAB9     |  Online  |
| 189 |                                                 |  2  |   I   |      Murein Miksa Mardhia, S.T., M.T.     |     KAM11, KAM12    |  Online  |
| 190 |                                                 |  2  |   J   |         Sri Winiarti, S.T., M.Cs.         |     KAM10, KAM11    |  Online  |
| 191 |              Metodologi Penelitian              |  2  |   A   |        Dewi Soyusiowaty, S.T., M.T.       |      JUM2, JUM3     |  Online  |
| 192 |                                                 |  2  |   B   |         Sri Winiarti, S.T., M.Cs.         |      SEN8, SEN9     |  Online  |
| 193 |                                                 |  2  |   C   |           Supriyanto, S.T., M.T.          |      SEN5, SEN6     |  Online  |
| 194 |                                                 |  2  |   D   |      Arfiani Nur Khusna, S.T., M.Kom.     |     RAB10, RAB11    |  Online  |
| 195 |                                                 |  2  |   E   |        Lisna Zahrotun, S.T., M.Cs.        |      SEL7, SEL8     |  Online  |
| 196 |                                                 |  2  |   F   |           Murinto, S.Si., M.Kom.          |      RAB4, RAB5     |  Online  |
| 197 |                                                 |  2  |   G   |         Sunardi, S.T., M.T., Ph.D.        |      SEL2, SEL3     |  Online  |
| 198 |                                                 |  2  |   H   |        Dewi Soyusiowaty, S.T., M.T.       |      JUM7, JUM8     |  Online  |
| 199 |                                                 |  2  |   I   |      Herman Yuliansyah, S.T., M.Eng.      |      SAB2, SAB3     |  Online  |
| 200 |               Teknologi Multimedia              |  3  |   A   |          Ika Arfiani, S.T., M.Cs.         |      KAM1, KAM2     |  Online  |
| 201 |                                                 |  3  |   B   |          Ika Arfiani, S.T., M.Cs.         |      SAB7, SAB8     |  Online  |
| 202 |                                                 |  3  |   C   |          Ika Arfiani, S.T., M.Cs.         |      SAB1, SAB2     |  Online  |
| 203 |                                                 |  3  |   D   |          Ika Arfiani, S.T., M.Cs.         |      RAB7, RAB8     |  Online  |
| 204 |                                                 |  3  |   E   |        Dinan Yulianto, S.T., M.Eng.       |      JUM2, JUM3     |  Online  |
| 205 |                                                 |  3  |   F   |        Dinan Yulianto, S.T., M.Eng.       |      JUM1, JUM2     |  Online  |
